brand,model,modification,cylinders,powerHp,engineVolume,transmissionType,transmissionSpeeds,baseCityNorm,baseHighwayNorm,fuelType,vehicleType,baseCombinedNorm,testCycle,normSource,sourceRef,publicTime,energyType,driveType,aliasCn,brandCn,region,phaseLow,phaseMid,phaseHigh,phaseExtra,electricKwh,co2,drivingRange,mass
Higer,King Long KLQ6840,37 мест,6L,180.0,5.883,MT,6,24.8,21.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Higer,King Long KLQ6885Q,36 мест,6L,210.0,5.883,MT,6,26.5,22.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Higer,King Long XMQ 6800,31 мест,6L,210.0,5.883,MT,6,20.8,17.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Higer,King Long XMQ6900,34 мест,6L,210.0,5.883,MT,6,25.8,21.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Higer,KingLong XMQ6900,36 мест,6L,225.0,6.700,MT,6,26.8,22.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero City,30 мест,6L,280.0,11.15,MT,5,29.0,24.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero City 540,23 мест,6L,300.0,11.15,MT,5,31.9,27.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero Express,23 мест,6L,340.0,11.15,MT,5,34.7,29.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero Space,46 мест,6L,300.0,11.15,MT,5,32.6,27.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero Space,45 мест,6L,235.0,11.15,MT,5,34.3,29.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero Space HB615,46 мест,6L,300.0,11.15,MT,5,26.3,22.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero Space HB615,46 мест,6L,340.0,11.15,MT,5,26.7,22.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero Town 6.6D,34 мест,6L,225.0,6.606,MT,5,23.9,20.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero Town 6.6D,24 мест,6L,196.0,6.606,MT,5,25.9,22.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Aero Town 6.6D,34 мест,6L,196.0,6.606,MT,5,23.6,20.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,County 3.9D,25 мест,4L,120.0,3.907,MT,5,17.1,14.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,County 3.9D,29 мест,4L,145.0,3.907,MT,5,21.2,18.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,County 3.9D,18 мест,4L,130.0,3.907,MT,5,18.1,15.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,County 3.9D,19 мест,4L,130.0,3.907,MT,5,17.9,15.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,County 3.9D,28 мест,4L,140.0,3.907,MT,5,19.4,16.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,County HD 3.9TD,20 мест,4L,145.0,3.907,MT,5,20.0,17.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Grand Starex 2.5TD,11 мест,4L,170.0,2.497,MT,5,10.2,8.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Real 3,22 мест,4L,117.0,3.298,MT,5,21.1,17.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Universe Express Noble,43 мест,6L,380.0,12.344,MT,5,35.7,30.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Universe Space Luxury,43 мест,6L,380.0,12.344,MT,5,35.6,30.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Hyundai,Universe Space Luxury,46 мест,6L,300.0,11.15,MT,5,35.7,30.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Iveco,Daily 45C14V,18 мест,4L,136.0,2.998,MT,6,13.1,11.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
MAN,Lion's Classic A72,50 мест,6L,310.0,11.967,MT,6,33.5,28.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
MAN,Lion's Classic A72,80 мест,6L,280.0,6.871,MT,6,36.2,30.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
MAN,Lion's Classic U72,80 мест,6L,280.0,6.871,MT,6,36.3,30.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
MAN,Lion's Coach LR08,55 мест,6L,440.0,10.518,MT,6,29.6,25.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
MAN,Lion's Coach R07,51 мест,6L,440.0,10.518,MT,6,33.2,28.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
MAN,Lion's Regio R12,55 мест,6L,310.0,11.967,MT,6,24.0,20.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,0350RHD Tourismo,48 мест,8V,422.0,11.967,MT,6,39.2,33.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,313CDI 2.2D,10 мест,4L,129.0,2.148,MT,5,10.7,9.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,324,7 мест,6V,258.0,3.498,AT,5,16.2,14.6,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,413CDI,19 мест,4L,129.0,2.148,MT,5,12.6,10.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,O510 Tourino,32 мест,6L,286.0,7.201,MT,6,27.6,23.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 2.2D,8 мест,4L,109.0,2.148,MT,5,11.9,10.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 208CD,9 мест,4L,82.0,2.148,MT,5,11.3,9.6,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 214,7 мест,4L,143.0,2.295,MT,5,13.2,11.9,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 313CDI,6 мест,4L,129.0,2.148,MT,5,10.8,9.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 314 3.2,13 мест,6V,224.0,3.199,MT,5,15.2,13.7,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 315CDI,15 мест,4L,150.0,2.148,MT,6,11.1,9.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 324,11 мест,6V,258.0,3.498,AT,5,17.0,15.3,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 413CDI 2.2D,19 мест,4L,150.0,2.148,MT,6,15.7,13.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 416CDI 2.7D,25 мест,5L,156.0,2.685,MT,6,16.8,14.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Sprinter 515CDI 2.2D,16 мест,4L,150.0,2.148,MT,6,14.1,12.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
